Hoja1: Table 1,,,,,
ITEM1_DESC,SIZE_DESC,Departamento,Precio Estimado,,
Copa Vainilla Hot Chocolate,N/A,N/A,"8,900",,
Copa Suprema,N/A,N/A,"8,900",,
Capricho de Maracuyá,N/A,N/A,"8,900",,
Copa Alaska,N/A,N/A,"8,900",,
"Helado Arte-Sano 1,5lt",N/A,N/A,"30,900",,
Helado Arte-Sano 800 ml,N/A,N/A,"20,900",,
Vaso Bola de Helado,N/A,N/A,"4,300",,
Vaso Dos Bolas de Helado,N/A,N/A,"5,300",,
Conos x 10 uindades,N/A,N/A,"8,000",,
Conos x 4 unidades,N/A,N/A,"6,000",,
Mini Waffles de Arequipe,N/A,N/A,"7,600",,
Mini Waffles de Frutos del Bosque,N/A,N/A,"7,900",,
Mini Waffles de Nutella,N/A,N/A,"9,400",,
Mini Waffles de Chocolate,N/A,N/A,"7,800",,
Waffle sencillo con Helado,N/A,N/A,"7,900",,
Waffle Especial,N/A,N/A,"10,600",,
Waffle de Frutos del Bosque,N/A,N/A,"9,800",,
Waffle de Mantequilla Syrup,N/A,N/A,"5,900",,
Mantequilla y Syrup,N/A,N/A,"5,900",,
Waffle de Arequipe,N/A,N/A,"9,400",,
Waffle de Arequipe y Banano,N/A,N/A,"9,600",,
Waffle de Nutella,N/A,N/A,"10,500",,
Waffle de Nutella y Banano,N/A,N/A,"10,600",,
Crepe de Nutella,N/A,N/A,"9,400",,
Crepe de Guayaba y Queso,N/A,N/A,"6,900",,
Crepe de Nutella y Banano,N/A,N/A,"9,600",,
Crepe de Frutos del Bosque,N/A,N/A,"8,900",,
Crepe Baby Doll,N/A,N/A,"8,500",,
Crepe Cleopatra,N/A,N/A,"7,900",,
"Helado Payaso (sabores para cambio: Arequipe, chicle, choclate, chocolate light, fresa, fresa light, limón, mora, vainilla, vainilla light)",N/A,N/A,"6,500",,
"Helado Piggy (sabores para cambio: Arequipe, chicle, choclate, chocolate light, fresa, fresa light, limón, mora, vainilla, vainilla light)",N/A,N/A,"4,900",,
Jugo de Mora,N/A,N/A,"4,900",,
Jugo de Mango,N/A,N/A,"5,900",,
Jugo de Fresa,N/A,N/A,"5,400",,
Jugo de Frambuesa,N/A,N/A,"6,900",,
Jugo de Guanábana,N/A,N/A,"6,200",,
Batido de Piña Jengibre Yerbabuena,N/A,N/A,"6,600",,
Limonada de Mango Biche,N/A,N/A,"6,400",,
Limonada Natural,N/A,N/A,"4,400",,
Limonada de Coco,N/A,N/A,"7,300",,
Limonada de Hierbabuena,N/A,N/A,"4,900",,
Limonada de Limón Mandarino,N/A,N/A,"4,800",,
Batido Alegria,N/A,N/A,"6,900",,
Batido Bienestar,N/A,N/A,"6,900",,
Malteadas,N/A,N/A,"9,900",,
Café Americano,N/A,N/A,"3,200",,
Café Americano,N/A,N/A,"3,200",,
Café Cappucchino,N/A,N/A,"3,900",,
Café Cappucchino,N/A,N/A,"3,900",,
Café Latte,N/A,N/A,"4,500",,
Café Latte,N/A,N/A,"4,500",,
Libra de Café,N/A,N/A,"19,900",,
Libra de Café,N/A,N/A,"19,900",,
1/2 Libra de Café,N/A,N/A,"10,600",,
1/2 Libra de Café,N/A,N/A,"10,600",,
Agua Siembra 477ml,N/A,N/A,"4,500",,
