Hoja1: Table 1,,,,,
ITEM1_DESC,SIZE_DESC,Departamento,Precio Estimado,,
Detergente en polvo Ariel  800 g,800 GR,Limpieza y hogar,25,,
Detergente en polvo Ariel  revitacolor 800 g,800 GR,Limpieza y hogar,25,,
Limpiador multiusos Pinol El original 1 l,1 L,Limpieza y hogar,23.5,,
Limpiador multiusos Pinol El original 2 l,2 L,Limpieza y hogar,38.89,,
Detergente en polvo Roma  multiusos biodegradable 1 kg,1 KG,Limpieza y hogar,27.9,,
Jabón Zote  en barra blanco 400 g,400 GR,Limpieza y hogar,15.5,,
Jabón Zote  en barra rosa 400 g,400 GR,Limpieza y hogar,15.5,,
ZOTE BARRA ROSA 100 G,100 GR,Limpieza y hogar,5,,
Detergente en polvo Carisma  para ropa blanca y de color 1 kg,1 KG,Limpieza y hogar,37.6,,
Detergente en polvo Blanca Nieves  multiusos 1 kg,1 KG,Limpieza y hogar,27.5,,
Limpiador líquido Fabuloso  frescura activa fresca lavanda 2 l,2 L,Limpieza y hogar,41.9,,
Limpiador líquido Fabuloso Frescura Profunda multiusos aroma fresca lavanda 1 l,1 L,Limpieza y hogar,19.9,,
Detergente en polvo 1 2 3  maxi efecto para ropa blanca y de color rocío del campo 900 g,900 GR,Limpieza y hogar,16.9,,
Detergente en polvo 1 2 3 Con Suavizante maxi poder con suavizante y jazmín 900 g,900 GR,Limpieza y hogar,16.9,,
Detergente en polvo 1 2 3  maxi poder 900 g,900 GR,Limpieza y hogar,16.9,,
Blanqueador multiusos Aurrera  con cloro 2 l,2 L,Limpieza y hogar,16,,
Blanqueador multiusos Aurrera  con cloro 4 l,1 PZA,Limpieza y hogar,26.5,,
Blanqueador multiusos Aurrera  aroma floral 4 l,4 L,Limpieza y hogar,26.5,,
Detergente en polvo Maestro Limpio  multipoder multiusos 1 kg,1 KG,Limpieza y hogar,22.9,,
Lavatrastes líquido Salvo  limón 750 ml,750 ML,Limpieza y hogar,28,,
Lavatrastes líquido Salvo  limón 1.2 l,1.2 L,Limpieza y hogar,38.9,,
Lavatrastes líquido Axion  aroma limón 750 ml,750 ML,Limpieza y hogar,25,,
Acondicionador de telas Suavitel  suavidad y fragancia acqua 740 ml,740 ML,Limpieza y hogar,18.5,,
Detergente líquido Great Value  para ropa de color 7 l,7 L,Limpieza y hogar,117,,
Acondicionador de telas Suavitel  cuidado superior fresca primavera 1.5 l,1.5 LT,Limpieza y hogar,40.5,,
ACE NATURALS DETERGENTE 800 GR,800 GR,Limpieza y hogar,16.9,,
Detergente líquido Carisma  para ropa 1 l,1 L,Limpieza y hogar,33,,
ENSUEN O COLOR TURQUESA 740ML,740 ML,Limpieza y hogar,12.5,,
Acondicionador de telas Suavitel  aroma lilas 740 ml,740 ML,Limpieza y hogar,18.5,,
ACE FLORAL DET POLVO 800GR,800 GR,Limpieza y hogar,20,,
Lavatrastes Eficaz  frutos rojos 1.2 l,1.2 LT,Limpieza y hogar,27.9,,
ARIEL REGULAR DET POLVO 1.5KG,1.5 KG,Limpieza y hogar,61,,
Suavizante acondicionador de telas Downy  aroma floral 2.8 l,2.8 LT,Limpieza y hogar,85,,
Detergente en polvo Ariel  doble poder 4.5 kg,4.5 KG,Limpieza y hogar,188,,
Detergente en polvo Ace  maxi limpieza 4 kg,4.0KG,Limpieza y hogar,144,,
Limpiador multiusos Pinol El original 3.785 l,3.78 L,Limpieza y hogar,74,,
Suavizante de telas Ensueño Max sensación natural 5.1 l,5.1 L,Limpieza y hogar,98.99,,
Suavizante de telas Ensueño Max zero enjuague frescura primaveral 5.1 l,5.1 LT,Limpieza y hogar,99,,
Detergente en polvo Roma  multiusos biodegradable 2 kg,2 KG,Limpieza y hogar,65.5,,
Detergente en polvo Foca  para ropa blanca y de color 2 kg,2 KG,Limpieza y hogar,67,,
Detergente en polvo Foca  para ropa blanca y de color 1 kg,1 KG,Limpieza y hogar,36,,
Detergente en polvo Blanca Nieves  multiusos 2 kg,2 KG,Limpieza y hogar,60,,
Acondicionador de telas Suavitel  cuidado superior fresca primavera 3 l,3 L,Limpieza y hogar,80.5,,
Detergente líquido MAS  colores intensos 4.65 l,4.65 L,Limpieza y hogar,139,,
Detergente en polvo Viva Regular para ropa blanca y de color 5 kg,5 KG,Limpieza y hogar,99,,
Detergente Axion  multisuperficies limón 800 g,800 GR,Limpieza y hogar,17.5,,
Lavatrastes líquido Axion  limón 1.5 l,1.5 LT,Limpieza y hogar,39.9,,
Detergente en polvo 1 2 3  suave sensación con aloe vera 900 g,900 GR,Limpieza y hogar,16.9,,
ENSUEN O COLOR DURAZNO Y FRUTOS R 740ML,740 ML,Limpieza y hogar,12.5,,
Jabón Zote  en barra blanco 200 g,200 GR,Limpieza y hogar,8.5,,
Jabón Zote  en barra rosa 200 g,200 GR,Limpieza y hogar,8.5,,
Quitamanchas en gel para ropa Vanish  multiuso 500 ml,500 ML,Limpieza y hogar,20,,
Guantes Aurrera  talla mediana 1 par,MEDIAN,Limpieza y hogar,14.5,,
Desinfectante Ajax  multilimpiador con aceite de pino 2 l,2 LT,Limpieza y hogar,31.5,,
Acondicionador de telas Suavitel Cuidado Superior frescura primaveral 850 ml,850 ML,Limpieza y hogar,25.5,,
Pastillas limpiadoras de inodoros Great Value  azules 4 pzas de 48 g c/u,4 PZS,Limpieza y hogar,31.6,,
Limpiador en polvo Ajax  bicloro 582 g,582 GR,Limpieza y hogar,24,,
Pastillas sanitarias Flash  en gancho aroma lavanda 72 g,72 G,Limpieza y hogar,10.5,,
Suavizante acondicionador de telas Downy  pureza silvestre 1.4 l,1.4 LT,Limpieza y hogar,44.9,,
Acondicionador de telas Suavitel Momentos Mágicos abrazo de amor 1.3 l,1.3 L,Limpieza y hogar,40.5,,
ALIMENTO PARA PERRO ADULTO POR KILO,KILO,Mascotas,21,,
Alimento para perro Campeón  adulto carne con vegetales 15 kg,15.0KG,Mascotas,499,,
Alimento para perro Dog Chow Extra Life adultos medianos y grandes 15.0 kg,15.0KG,Mascotas,609,,
Alimento para perro Purina Mainstay adulto raza grande 21.5 kg,21.5KG,Mascotas,544,,
Alimento para Perro Pedigree  Res Adulto 100 g,100GR,Mascotas,10.6,,
Alimento para Perro Pedigree  Res Adulto Razas Pequeñas 100 g,100GR,Mascotas,10.6,,
Tortilla de maíz por kg,KILO,Panaderia Y Tortilleria,11.5,,
Papel higiénico Regio  aires de frescura 18 rollos con 260 hojas dobles,18R,Papeles Domesticos,87.5,,
Papel higiénico Regio Luxury almond touch 18 rollos con 205 hojas dobles,ROL 18.00,Papeles Domesticos,135,,
Toallas de cocina Facial Quality  3 rollos con 60 hojas dobles c/u,3ROLL,Papeles Domesticos,32.4,,
Papel higiénico Great Value  premium 32 rollos con 220 hojas dobles c/u,ROL 32.00,Papeles Domesticos,169,,
Servilletas Great Value  premium 400 pzas,400 PZ,Papeles Domesticos,39,,
Papel higiénico Pétalo Rendimax 12 rollos con 320 hojas dobles,ROL 12.00,Papeles Domesticos,74,,
Servitoalla Pétalo  1 rollo con 180 hojas dobles,1R,Papeles Domesticos,19.9,,
Servilletas Suavel  blancas 400 pzas,400,Papeles Domesticos,35.5,,
Papel higiénico Suavel  con aroma 32 pzas,ROL 32.00,Papeles Domesticos,99,,
Papel higiénico Premier  mega roll 4 pzas,4 PZ,Papeles Domesticos,20,,
Toallas de papel Elite  megaroll 1 rollo con 180 hojas dobles,1 ROLL,Papeles Domesticos,18.5,,
Servilletas Elite Máxima Suavidad ultra 400 pzas,400 HJ,Papeles Domesticos,41.5,,
Servilletas Pétalo  420 pzas,420 PZ,Papeles Domesticos,51,,
Servilletas Fancy  360 pzas,360S,Papeles Domesticos,21,,
Papel higiénico Pétalo  ultra jumbo 4 pzas,4,Papeles Domesticos,21.8,,
Papel higiénico Suavel  jumbo 4 pzas,4R,Papeles Domesticos,20,,
Servitoalla Pétalo  decorada 1 paquete con 2 rollos,2 R,Papeles Domesticos,32.9,,
Servilletas Suavel  130 pzas,130,Papeles Domesticos,11.5,,
Papel higiénico Regio  rinde más 12 rollos con 300 hojas dobles,12.0PC,Papeles Domesticos,69,,
"Papel higiénico Suavel  diseño y colores únicos, 16 rollos",ROL 16.00,Papeles Domesticos,49,,
Papel aluminio Aurrera  7 m X 30 cm 1 pza,7M,Papeles Domesticos,14.5,,
Papel higiénico Suavel  jumbo 4 pzas,4,Papeles Domesticos,15,,
Servilletas Pétalo  de hoja sencilla 140 pzas,140,Papeles Domesticos,17.5,,
Bolsas para basura Great Value  mediana con plastinudo 20 pzas,20 PZ,Papeles Domesticos,16,,
Bolsas para basura Great Value  grande con plastinudo 14 pzas,14 PZ,Papeles Domesticos,16,,
Filete de tilapia por kg,KG,Pescados Y Mariscos,96,,
Filete basa oriental rojo por kg,KG,Pescados Y Mariscos,76,,
Mojarra grande por kg,KG,Pescados Y Mariscos,59,,
Camarón chico sin cabeza por kg,KG,Pescados Y Mariscos,234,,
Barrita de surimi por kg,KG,Pescados Y Mariscos,96,,
Camarón coctelero por kg,KILO,Pescados Y Mariscos,194,,
Queso crema Philadelphia  original 190 g,190 GR,Salchichonería,26,,
Queso tipo manchego Lala  rebanado 400 g,400GR,Salchichonería,70,,
Jamón de pavo Fud  virginia 450 g,450 GR,Salchichonería,63,,
Queso  panela La Villita 2 pack 400 g,400 GR,Salchichonería,52.5,,
Queso panela FUD rebanadas cuadradas 300 g,300 GR,Salchichonería,52,,
Queso crema Aurrera  190 g,190GR,Salchichonería,20,,
Queso imitación tipo americano Aurrera  16 rebanadas 280 g,280GR,Salchichonería,16,,
Salchicha Aurrera  tipo Viena 833 g,833 GR,Salchichonería,28,,
AURRERA SALCHICHA PAVO 664GR,664GR,Salchichonería,24.5,,
Jamón de pavo Zwan  virginia por kg,KILO,Salchichonería,130,,
Queso panela Lala  400 g,400GR,Salchichonería,44,,
Salchicha de pavo Bafar  frankfort 500 g,500 GR,Salchichonería,34,,
Queso mozzarella Aurrera  picado 400 g,400GR,Salchichonería,44,,
Salchichas Chimex  estilo viena 1 paquete con 50 pzas,2.0 KG,Salchichonería,77.5,,
Maíz pozolero Aurrera  precocido y descabezado 2 kg,2 KG,Salchichonería,36,,
Salchicha de pavo Aurrera  48 pzas,2 KG,Salchichonería,72,,
Queso imitación tipo manchego Aurrera  16 rebanadas 280 g,280GR,Salchichonería,16,,
Queso panela Los Volcanes  400 g,400GR,Salchichonería,63,,
AU JAMON COCIDO PAVO 500 GR,500GR,Salchichonería,31,,
Tocino FUD  ahumado 250 g,250GR,Salchichonería,66.5,,
Crema dental Colgate Total 12 clean mint 75 ml,75 ML,Salud y Belleza,29.9,,
Crema dental Colgate  máxima protección anticaries 150 ml,150 ML,Salud y Belleza,46.9,,
Crema dental Colgate Total 12 clean mint 150 ml,150 ML,Salud y Belleza,48.5,,
Crema corporal Nivea Body Milk nutritiva para piel extra seca 400 ml,400 ML,Salud y Belleza,52.5,,
Crema S Pond's  nutritiva 400 g,400,Salud y Belleza,68,,
Jabón de tocador Dove  original 4 barras de 100 g c/u,4PACK,Salud y Belleza,57,,
Jabón de tocador Zest  vitamina E & glicerina 5 pzas de 100 g c/u,5PACK,Salud y Belleza,33.5,,
Pasta dental Colgate  Triple Acción 150 ml,150 ML,Salud y Belleza,36.5,,
Bodega ,3PACK,Salud y Belleza,25,,
COLGATE MAX FRESH PASTA 2PACK 66ML,66 ML,Salud y Belleza,20,,
Crema dental Colgate Triple Acción menta original 2 pzas de 90 ml c/u,90ML,Salud y Belleza,29.9,,
Jabón corporal Escudo  protección neutra 5 pzas de 110 g c/u,5PACK,Salud y Belleza,38.5,,
Toallas femeninas Kotex Naturals con manzanilla nocturna con alas flujo súper abundante 36 pzas,UNICO,Salud y Belleza,51,,
Jabón corporal Escudo  antibacterial protección fórmula original 5 pzas de 110 g c/u,5PACK,Salud y Belleza,38.5,,
Protectores Saba Diarios largos 90 pzas,90PZAS,Salud y Belleza,29.9,,
Toallas femeninas Saba Buenas Noches flujo súper abundante con alas 30 pzas,30PZAS,Salud y Belleza,83.5,,
Shampoo 2 en 1 Palmolive Optims extra intensivo 700 ml,700 ML,Salud y Belleza,58.5,,
Jabón de tocador Palmolive Neutro Balance dermolimpiador 4 pzas de 150 g c/u,4PACK,Salud y Belleza,62,,
Almohadillas de algodón Equate  con glicerina 80 pzas,80 PZ,Salud y Belleza,11.9,,
Jabón de tocador Zest  sensación hidratante 150 g,150 GR,Salud y Belleza,10,,
Jabón corporal Escudo  antibacterial protección neutra 150 g,150 GR,Salud y Belleza,10,,
Crema corporal Nivea  regeneración intensiva para piel áspera y extra seca 400 ml,400 ML,Salud y Belleza,51.5,,
Crema corporal Lubriderm  reparación intensiva 400 ml,400 ML,Salud y Belleza,78,,
Crema dental Colgate Luminous White carbón activado dazzling mint 75 ml,75ML,Salud y Belleza,39.9,,
Tinte para cabello Koleston  30 castaño oscuro 1 pza,UNICO,Salud y Belleza,52,,
Jabón de tocador Lirio  neutro 5 pzas de 120 g c/u,5PACK,Salud y Belleza,39.5,,
Cerveza oscura Victoria  mega 1.2 l,FAMIL,Vinos Y Licores,33,,
Cerveza oscura Victoria  4 Latas de 473 ml c/u,4 PK,Vinos Y Licores,72,,
Cerveza clara Barrilito  6 latas de 355 ml c/u,6 PK,Vinos Y Licores,47,,
Cerveza clara Modelo Especial 6 latas de 355 ml c/u,6 PK,Vinos Y Licores,84,,
Cerveza clara Modelo especial 4 latas de 473 ml c/u,4 PK,Vinos Y Licores,68,,
Tequila Cabrito  reposado de 950 ml + Cabrito de 250 ml,950ML,Vinos Y Licores,139,,
Tequila Jose Cuervo Especial reposado 990 ml,990ML,Vinos Y Licores,175,,
Cerveza clara Corona familiar familiar 940 ml,FAMIL,Vinos Y Licores,34,,
